frame_index,x_pos_mm,y_pos_mm,u_vel_mm/sec,v_vel_mm/sec,sig2noise
0,5.1908,-0.10232,0.50582,-0.63465,1.2763
0,5.4039,0.12677,0.66326,-0.83024,1.2535
0,5.6179,0.35521,0.79432,-0.94487,1.1757
0,5.8328,0.58321,0.85199,-0.87491,1.2204
0,6.0489,0.81094,0.90766,-0.94822,1.3019
0,6.2663,1.0386,0.88578,-0.89021,1.2217
0,6.4851,1.2664,0.76583,-0.9604,1.2227
0,6.7056,1.4944,0.64328,-0.99699,1.3175
0,6.9279,1.723,0.51056,-1.0332,1.3038
0,7.152,1.9522,0.48017,-1.0677,1.3858
0,7.3782,2.1823,0.3391,-1.0852,1.2971
0,7.6065,2.4135,0.30247,-1.0752,1.3427
0,7.837,2.6458,0.24152,-1.0853,1.4096
0,8.0698,2.8794,0.21034,-1.1391,1.3558
0,8.3047,3.1145,0.17942,-1.1099,1.2987
0,8.5418,3.3512,0.28382,-1.1923,1.3253
0,8.781,3.5895,0.20244,-1.2922,1.3792
0,9.0221,3.8295,0.17487,-1.244,1.3715
0,9.2649,4.0712,0.19452,-1.2485,1.4134
0,9.5089,4.3144,0.21003,-1.2679,1.3074
0,9.7538,4.5591,0.13781,-1.2829,1.4304
0,9.9992,4.8051,0.0678,-1.3094,1.3828
0,10.244,5.0521,0.11259,-1.2233,1.4377
0,4.9657,0.11142,0.43133,-0.48848,1.302
0,5.1783,0.33989,0.55695,-0.58728,1.3362
0,5.3915,0.56777,0.7666,-0.83483,1.3098
0,5.6057,0.79525,0.88739,-0.87408,1.3056
0,5.821,1.0225,0.91069,-0.85241,1.2934
0,6.0376,1.2497,0.81862,-0.85986,1.2619
0,6.2556,1.4771,0.79139,-0.9116,1.2052
0,6.4752,1.7049,0.68805,-0.90499,1.3618
0,6.6965,1.9332,0.59225,-0.9032,1.2623
0,6.9197,2.1623,0.52643,-1.0074,1.4468
0,7.1449,2.3922,0.40475,-1.0483,1.2193
0,7.3723,2.6233,0.40919,-1.0321,1.1756
0,7.6019,2.8556,0.25818,-1.0834,1.2889
0,7.8337,3.0893,0.20936,-1.0861,1.3578
0,8.0678,3.3245,0.354,-1.0486,1.4546
0,8.3042,3.5614,0.271,-1.152,1.2948
0,8.5427,3.8,0.29508,-1.3109,1.4147
0,8.7833,4.0404,0.24161,-1.2806,1.4256
0,9.0256,4.2825,0.22275,-1.2429,1.3743
0,9.2695,4.5263,0.19728,-1.2759,1.3684
0,9.5145,4.7716,0.16652,-1.3006,1.3115
0,9.7601,5.0183,0.11627,-1.4442,1.354
0,10.006,5.2662,0.20219,-1.209,1.329
0,4.7424,0.32345,0.38107,-0.37233,1.5427
0,4.9543,0.55136,0.57166,-0.58863,1.4126
0,5.167,0.77872,0.71024,-0.7029,1.2788
0,5.3805,1.0057,0.76868,-0.81708,1.3103
0,5.595,1.2326,0.83157,-0.76986,1.3989
0,5.8108,1.4594,0.80584,-0.78318,1.2973
0,6.0279,1.6865,0.77013,-0.78077,1.2914
0,6.2466,1.914,0.68187,-0.87861,1.339
0,6.4671,2.1422,0.63292,-0.91913,1.2388
0,6.6894,2.3711,0.50793,-0.99523,1.2898
0,6.9136,2.601,0.44459,-1.0175,1.2385
0,7.14,2.832,0.35684,-0.98679,1.2819
0,7.3687,3.0644,0.30414,-1.0638,1.3653
0,7.5996,3.2982,0.3207,-1.0848,1.3095
0,7.8328,3.5336,0.31451,-1.0332,1.4913
0,8.0683,3.7708,0.28435,-1.1452,1.3103
0,8.3061,4.0097,0.28051,-1.2416,1.288
0,8.546,4.2505,0.22329,-1.2609,1.2991
0,8.7878,4.4931,0.21062,-1.3065,1.3206
0,9.0313,4.7375,0.20004,-1.4303,1.383
0,9.2762,4.9836,0.15633,-1.3551,1.3423
0,9.5218,5.2311,0.1822,-1.2764,1.2593
0,9.7678,5.4798,0.3438,-1.2239,1.4472
0,4.5205,0.53388,0.32481,-0.30336,1.5008
0,4.7319,0.76127,0.53674,-0.56414,1.5481
0,4.944,0.98816,0.62991,-0.62442,1.4805
0,5.1569,1.2147,0.7859,-0.7307,1.4068
0,5.3707,1.4412,0.75211,-0.74347,1.3072
0,5.5857,1.6678,0.80278,-0.74226,1.3236
0,5.8021,1.8946,0.80561,-0.71498,1.3503
0,6.02,2.122,0.66143,-0.83317,1.3504
0,6.2395,2.3499,0.63741,-0.80331,1.2586
0,6.4609,2.5788,0.56137,-0.85969,1.2765
0,6.6842,2.8087,0.49977,-0.88275,1.3214
0,6.9097,3.0398,0.3804,-0.98907,1.352
0,7.1373,3.2722,0.37393,-1.0373,1.3551
0,7.3673,3.5063,0.36148,-1.0617,1.3252
0,7.5995,3.742,0.27568,-1.1583,1.2966
0,7.8342,3.9794,0.28843,-1.1079,1.3741
0,8.0711,4.2188,0.2892,-1.1126,1.3391
0,8.3103,4.4601,0.34095,-1.1543,1.404
0,8.5515,4.7032,0.30138,-1.2996,1.4837
0,8.7945,4.9483,0.34644,-1.3059,1.3873
0,9.039,5.1951,0.1875,-1.3107,1.4051
0,9.2846,5.4434,0.26377,-1.278,1.363
0,9.5306,5.693,0.26985,-1.3259,1.3778
0,4.3,0.74284,0.28265,-0.21435,1.6036
0,4.511,0.96976,0.47629,-0.48048,1.4345
0,4.7225,1.1962,0.58792,-0.56305,1.3499
0,4.9348,1.4225,0.78434,-0.57139,1.2993
0,5.148,1.6486,0.78774,-0.63391,1.2563
0,5.3623,1.8749,0.82845,-0.68796,1.3788
0,5.5779,2.1016,0.82023,-0.73176,1.3944
0,5.795,2.3288,0.76675,-0.76907,1.3977
0,6.0137,2.5567,0.66722,-0.79114,1.274
0,6.2342,2.7855,0.59126,-0.82659,1.2899
0,6.4566,3.0155,0.50031,-0.89046,1.312
0,6.6811,3.2467,0.42715,-0.97202,1.3406
0,6.9078,3.4793,0.39775,-1.07,1.3411
0,7.1368,3.7136,0.3329,-0.97141,1.3398
0,7.3681,3.9496,0.30033,-1.0837,1.4121
0,7.6018,4.1875,0.30053,-1.1703,1.3483
0,7.8379,4.4273,0.33659,-1.2568,1.2394
0,8.0762,4.6691,0.34437,-0.98403,1.4023
0,8.3167,4.9129,0.35003,-1.327,1.3896
0,8.5591,5.1587,0.37427,-1.3576,1.2944
0,8.8031,5.4062,0.28298,-1.346,1.4919
0,9.0484,5.6554,0.21209,-1.3961,1.4375
0,9.2944,5.906,0.22451,-1.437,1.2979
0,4.0808,0.95045,0.24186,-0.16431,1.4254
0,4.2914,1.177,0.37078,-0.38893,1.6173
0,4.5024,1.4031,0.58053,-0.47109,1.4196
0,4.7142,1.629,0.72155,-0.61537,1.3374
0,4.9268,1.8549,0.81712,-0.6199,1.2871
0,5.1404,2.081,0.82445,-0.61885,1.2532
0,5.3554,2.3076,0.78627,-0.63373,1.3148
0,5.5717,2.5347,0.75713,-0.69534,1.3527
0,5.7896,2.7626,0.65902,-0.71724,1.31
0,6.0092,2.9915,0.59004,-0.73264,1.4039
0,6.2307,3.2215,0.50431,-0.90919,1.3528
0,6.4543,3.4529,0.44983,-0.97385,1.3156
0,6.68,3.6858,0.40508,-1.0119,1.3653
0,6.908,3.9204,0.34987,-1.0273,1.3001
0,7.1384,4.1568,0.33899,-1.0869,1.3958
0,7.3711,4.3951,0.38104,-1.1718,1.3203
0,7.6063,4.6354,0.36061,-1.2437,1.2935
0,7.8437,4.8778,0.38118,-1.0647,1.3663
0,8.0834,5.1223,0.37217,-1.3277,1.3723
0,8.3251,5.3688,0.37322,-1.3379,1.425
0,8.5686,5.6172,0.26434,-1.3215,1.502
0,8.8134,5.8673,0.27899,-1.3425,1.4423
0,9.0591,6.1188,0.24749,-1.4052,1.3899
0,3.8627,1.1569,0.3904,-0.37254,1.032
0,4.0729,1.383,0.16249,-0.41004,1.3
0,4.2835,1.6088,0.56735,-0.44696,1.6923
0,4.4948,1.8345,0.66827,-0.53037,1.448
0,4.7069,2.0602,0.73726,-0.5253,1.3576
